whaleID,totalnumberoflunges,TL,meanlunges,meanlungesforagedives,maxlunges,minlunges,ninetypercent,tenpercent,stdlungeforagedives,meanILI,stdILI,meandivelength,meanforagedivelength,meanpurge1,stdpurge1,meanpurge2,stdpurge2,meanpurge3,stdpurge3,meanengulfmenttime,stdengulfmenttime,meandepthoflunge,stddepthoflunge
bb180304-42,57,8.12,1.628571429,5.181818182,9,1,8.4,1,3.027149875,31.90081845,6.068923928,221.64,331.0272727,9.570175439,7.666740901,13.04210526,7.89396124,20.19298246,7.666740901,2.09122807,0.48707608,136.8379139,46.67126576
bb180304-45,877,8.58,3.399224806,9.135416667,22,1,16,3.1,4.610331171,26.93843227,8.460993278,278.4813953,393.1770833,10.63375143,7.257395925,13.52075257,8.96003317,18.55632839,7.257395925,1.868643101,1.059986046,140.0292266,62.70283866
bb190224-48,16,5.76,1.142857143,2,4,1,3.7,1,1.069044968,35.9,11.18615215,121.35,155.7125,7.75,6.974525073,9.7625,7.443554259,18.59375,6.974525073,1.6125,0.474517299,59.20341182,24.68240189
bb190224-52,1268,4.54,2.792951542,3.581920904,10,1,6,2,1.806601284,12.42440092,3.736148323,82.50022026,75.08785311,3.765615142,1.711860483,5.86955836,2.4293985,11.69416404,1.711860483,1.670899054,0.323306925,32.66703383,36.27676296
bb190225-54,375,7.96,2.005347594,2.314814815,7,1,4,1,1.2779653,27.44833333,10.30429589,105.0941176,101.8283951,11.792,4.69989646,14.98426667,6.015771867,20.81013333,4.69989646,1.770666667,0.352748313,27.17611345,20.85177738
bb190225-55,413,8.79,2.065,2.320224719,7,1,4,1,1.312149207,26.09372222,6.749929369,96.77,93.06516854,12.26029056,4.855771455,15.52784504,5.911062071,20.0220339,4.855771455,1.681598063,0.293042896,24.6367858,22.80012788
bb190228-55b,466,7.06,2.603351955,3.758064516,11,1,8.1,1,3.018563077,19.43749585,8.56992392,112.9569832,116.6959677,6.496566524,3.375686153,8.988626609,4.682906395,13.57639485,3.375686153,1.610085837,0.439262815,77.6064,58.52730386
bb190302-48,108,8.62,3.6,7.2,10,4,9,5,1.740279124,25.10013228,5.343559835,202.9666667,268.6466667,10.81111111,5.031737281,12.73148148,6.296025273,18.79907407,5.031737281,1.685185185,0.30040932,86.69922124,13.65137688
bb190302-52,2973,8.09,4.410979228,4.849918434,17,1,9,1,2.845186422,18.05988711,5.965400776,136.0994065,133.0949429,5.106559031,3.611523639,8.216414396,5.079878728,14.91617894,3.611523639,2.3790111,0.693449036,52.22784615,55.27512121
bb190302-53,920,8.47,3.579766537,4.035087719,10,1,7.7,1,2.376202963,20.95584392,5.078259922,115.5416342,115.5925439,10.05967391,3.572302151,12.86630435,4.502181243,17.59195652,3.572302151,1.868586957,0.412722276,37.34344068,36.18941421
bb190306-52,407,7.06,1.634538153,2.625806452,6,1,4,1,1.285020527,18.40181944,6.424682675,81.38353414,71.55419355,5.522850123,2.838648422,7.405651106,3.224856129,13.68280098,2.838648422,2.131203931,0.690030538,22.04323481,17.37435947
bp170907-41b,518,18.47,3.257861635,3.385620915,6,1,5,1,1.318512834,77.57275309,30.5102285,362.4377358,368.0137255,33.69150579,10.97544319,42.98552124,15.12331909,70.05212355,10.97544319,3.195173745,0.912727473,151.2061772,57.97382654
bp180828-44,103,19.33,4.904761905,6.058823529,9,2,8.8,2.4,2.135140166,55.72647759,40.47779822,446.7619048,501.3647059,21.27184466,7.640198353,29.43203883,8.711556597,37.8631068,7.640198353,3.555339806,1.235641308,207.9697583,19.75152475
bp180830-53,9,15.81,4.5,9,9,9,9,9,0,36.7375,0,504.2,517.9,16.31111111,8.880800139,21.38888889,10.83194863,22.82222222,8.880800139,1.188888889,0.50853821,188.1175624,4.388150182
bw170813-44,332,22.59,1.257575758,2.141935484,5,1,3,1,0.996348591,133.4474673,16.82655158,357.0583333,373.1283871,74.20662651,25.26422219,94.67620482,29.69066207,126.3783133,25.26422219,4.155120482,2.172765578,93.74321753,50.36763233
bw170814-31,228,22.21,3.737704918,3.8,7,1,5,3,1.161530259,82.54700565,7.948669632,380.1901639,384.1366667,50.07280702,12.10136545,69.93377193,19.69737454,88.82587719,12.10136545,5.233333333,6.750078044,106.9589138,17.94787974
bw170814-40,593,22.53,2.325490196,3.088541667,6,1,5,1,1.610656254,93.26050926,16.33895367,296.3098039,336.946875,38.3851602,24.66128276,48.25666105,30.4750168,70.00978078,24.66128276,4.286003373,2.585057709,104.2473246,53.90835234
bw170814-50,160,22.75,3.265306122,3.555555556,5,1,5,2,1.034749762,98.75018939,14.46882726,444.077551,461.9822222,59.188125,17.42431386,74.20125,20.0861321,109.883125,17.42431386,5.826875,1.718845666,126.7891566,28.17642582
bw170814-51,261,20.7,3.48,4.078125,7,1,6,1,1.48328986,95.30236842,9.434214491,438.352,461.7296875,54.97279693,17.54150867,65.56666667,19.71671489,101.054023,17.54150867,5.937547893,1.939659001,60.22053052,11.40898305
bw170815-21,53,22.55,2.523809524,2.65,4,1,3.5,2,0.74515982,98.50263158,13.37420733,420.6809524,421.675,52.36603774,20.04865182,65.26226415,20.4728453,99.60377358,20.04865182,5.99245283,1.845456902,126.9411526,16.85275205
bw170815-28,289,21.09,1.082397004,2.349593496,5,1,4,1,1.130673235,93.02034884,14.78459931,271.5468165,281.7065041,44.94359862,18.72019953,60.26816609,23.95142271,95.32941176,18.72019953,4.832525952,1.564930616,84.37770649,43.68213855
bw180827-52,125,23.59,3.125,3.205128205,4,1,4,2.4,0.695076186,137.75,7.595926085,631.9575,645.6717949,75.4128,30.79791566,92.6672,24.77161088,102.3488,30.79791566,4.48,0.802415708,228.4992686,28.83274128
bw180827-53,26,22.82,1.625,3.714285714,4,3,4,3,0.487950036,121.6309524,9.965535186,537.75,825.6428571,49.14615385,23.47603426,67.08076923,27.06098327,96.18846154,23.47603426,4.219230769,2.015344979,205.0709292,24.96731279
bw180828-48b,155,22.82,2.066666667,5.344827586,7,2,6.6,4,1.14254922,114.2341379,9.960875354,653.7106667,885.7103448,69.30387097,24.48114271,81.11741935,29.34005982,98.02967742,24.48114271,2.5,0.619174146,227.9060157,28.1284691
bw180828-49,192,22.09,2.953846154,5.052631579,6,3,6,4,0.898869212,123.8795175,9.354958168,613.8169231,810.4236842,68.22552083,20.02592625,84.865625,14.32383017,88.703125,20.02592625,4.348958333,0.85246729,177.8714645,28.4541649
bw180829-30,88,20.37,4.19047619,4.4,7,3,6,3,1.046296728,102.7561667,6.960546126,595.3809524,601.41,63.86818182,19.02356401,76.75340909,19.65686654,88.03068182,19.02356401,4.042045455,2.702519965,164.5483989,25.56825162
bw180829-47,122,23.12,0.924242424,3.8125,7,1,6,1,1.749423868,110.6341071,11.6575946,580.225,766.815625,65.02868852,16.58154146,76.26557377,13.09245427,84.63442623,16.58154146,4.225409836,0.774443172,195.3907067,28.09136236
bw180830-40,149,22.7,3.386363636,4.806451613,7,2,6.4,3,1.249516035,92.27672043,6.854640338,595.2318182,697.1032258,57.74630872,14.30808467,69.70604027,12.26511328,81.93087248,14.30808467,2.114765101,0.461105581,233.6600344,27.89113382
bw180830-46,89,19.27,2.870967742,4.944444444,7,3,6,3,1.349170648,94.77157407,16.24918168,538.3612903,643.9611111,52.19550562,19.73129673,68.30898876,10.32025414,70.35842697,19.73129673,3.701123596,8.383174361,206.8271555,25.70938602
bw180830-48,40,21.78,4,5.714285714,11,3,10,3.2,2.563479778,131.3016667,33.71755004,781.78,1076.214286,66.8625,20.91440048,81.475,22.79095356,104.3925,20.91440048,4.31,1.6421999,187.1855713,9.911788882
bw180830-52b,63,21.98,5.727272727,5.727272727,9,4,7.8,4.6,1.348399725,77.21068182,27.24452195,780.6454545,780.6454545,32.03015873,9.16528575,45.82380952,5.416275184,49.72222222,9.16528575,4.634920635,1.203778826,246.3263429,14.78647744
bw180904-44,206,25.18,3.074626866,4.904761905,7,1,6,2.7,1.393530764,103.1117083,16.73811781,580.1567164,692.5333333,61.53398058,13.58724332,75.03592233,14.72085863,80.49320388,13.58724332,3.902912621,0.821890303,195.2304631,49.17044882
bw180904-52,24,22.06,3,4,6,3,5.9,3,1.264911064,111.6272222,29.86698701,671.1375,847.0833333,57.7375,9.645941363,71.925,17.13514695,77.825,9.645941363,3.558333333,0.882149877,227.9464161,12.03292112
bw180905-49,210,25.18,2.470588235,6,9,3,7,5,1.188177052,99.40027891,8.39040769,653.5047059,816.6571429,56.82,13.74161354,76.07190476,15.19930498,88.3052381,13.74161354,4.273809524,2.319880743,213.4844733,29.81215765
bw180905-53,152,24.49,1.9,3.897435897,7,1,5,2,1.231064405,127.0915789,13.45749139,770.7375,972.7410256,78.58223684,18.29723716,101.3125,23.43883491,114.7907895,18.29723716,4.4375,1.800508114,208.7980323,35.69582554
mn170703-40,312,10.1,5.288135593,12.48,16,7,16,9,2.417298768,33.03262421,2.644486142,403.3135593,594.732,14.25128205,4.482620777,16.66121795,4.69623258,25.82916667,4.482620777,1.745833333,0.409903852,166.5069857,33.98110505
mn170815-10,51,12.21,0.689189189,2.55,8,1,6,1,2.163695669,53.39168831,17.56241327,242.8513514,201.505,22.51960784,14.10689221,26.74901961,15.84141878,33.87058824,14.10689221,1.621568627,0.550386673,69.11462774,47.12011595
mn180227-40,168,10.48,0.63878327,1.083870968,6,1,1,1,0.482886864,41.52428571,22.04010274,66.3460076,47.2716129,12.47142857,4.646396361,15.1327381,5.437456003,26.00654762,4.646396361,1.516071429,0.444033008,15.46598171,7.876717648
mn180227-41,778,11.99,1.018324607,1.250803859,6,1,2,1,0.745220518,42.91071705,12.28400669,69.57591623,55.89276527,14.59125964,5.229315515,19.00244216,6.288023115,30.35385604,5.229315515,1.653727506,0.446225685,25.37020431,20.79415705
mn180227-43,983,10,1.028242678,1.245880862,9,1,2,1,0.812574958,32.98927903,7.680756103,57.59905858,44.60164766,9.444252289,5.195167054,12.30142421,6.093550897,17.0283825,5.195167054,1.601220753,0.494921804,24.62687801,29.53396247
mn180227-44,357,11.43,0.595993322,1.552173913,8,1,3.5,1,1.306473491,43.52589286,9.316184494,117.357596,78.96695652,16.2952381,5.48566106,19.50756303,5.404396249,24.77871148,5.48566106,1.424929972,0.375993528,36.45264121,32.12460331
mn180227-46,557,10.66,0.593184239,1.039179104,4,1,1,1,0.229494523,36.55462963,14.97895234,63.08498403,42.75242537,13.89192101,5.443601228,16.41149013,6.122488688,21.10179533,5.443601228,1.433393178,0.342228433,13.75416157,5.050064123
mn180302-27,525,11.38,1.381578947,1.861702128,8,1,4,1,1.388317273,40.72843695,10.8634953,102.5584211,92.79539007,18.26057143,7.133537316,22.55428571,7.308306324,30.95695238,7.133537316,1.688571429,0.370556185,30.45425037,27.18365602
mn180302-47,760,11.36,1.048275862,1.386861314,11,1,2,1,1.221370796,34.99458163,12.50983174,88.62924138,65.13740876,12.94986842,4.431959626,15.67947368,5.359153546,23.32144737,4.431959626,1.650526316,0.378889212,41.50884291,66.58806969
